Date,High,Low,Open,Close,Volume,Adj Close
2018-02-01,168.6199951171875,166.75999450683594,167.1699981689453,167.77999877929688,47230800.0,163.9610137939453
2018-02-02,166.8000030517578,160.10000610351562,166.0,160.5,86593800.0,156.84674072265625
2018-02-05,163.8800048828125,156.0,159.10000610351562,156.49000549316406,72738500.0,152.92800903320312
2018-02-06,163.72000122070312,154.0,154.8300018310547,163.02999877929688,68243800.0,159.3191375732422
2018-02-07,163.39999389648438,159.07000732421875,163.08999633789062,159.5399932861328,51608600.0,155.9085693359375
2018-02-08,161.0,155.02999877929688,160.2899932861328,155.14999389648438,54390500.0,151.61851501464844
2018-02-09,157.88999938964844,150.24000549316406,157.07000732421875,156.41000366210938,70672600.0,153.4730224609375
2018-02-12,163.88999938964844,157.50999450683594,158.5,162.7100067138672,60819500.0,159.6547393798828
2018-02-13,164.75,161.64999389648438,161.9499969482422,164.33999633789062,32549200.0,161.2541046142578
2018-02-14,167.5399932861328,162.8800048828125,163.0399932861328,167.3699951171875,40644900.0,164.22720336914062
2018-02-15,173.08999633789062,169.0,169.7899932861328,172.99000549316406,51147200.0,169.74168395996094
2018-02-16,174.82000732421875,171.77000427246094,172.36000061035156,172.42999267578125,40176100.0,169.19219970703125
2018-02-20,174.25999450683594,171.4199981689453,172.0500030517578,171.85000610351562,33930500.0,168.6230926513672
2018-02-21,174.1199951171875,171.00999450683594,172.8300018310547,171.07000732421875,37471600.0,167.8577423095703
2018-02-22,173.9499969482422,171.7100067138672,171.8000030517578,172.5,30991900.0,169.26089477539062
2018-02-23,175.64999389648438,173.5399932861328,173.6699981689453,175.5,33812400.0,172.20455932617188
2018-02-26,179.38999938964844,176.2100067138672,176.35000610351562,178.97000122070312,38162200.0,175.60940551757812
2018-02-27,180.47999572753906,178.16000366210938,179.10000610351562,178.38999938964844,38928100.0,175.04029846191406
